,telecommuting,has_company_logo,has_questions,fraudulent,salary_min,salary_max,employment_type_-,employment_type_Contract,employment_type_Full-time,employment_type_Other,employment_type_Part-time,employment_type_Temporary,required_experience_-,required_experience_Associate,required_experience_Director,required_experience_Entry level,required_experience_Executive,required_experience_Internship,required_experience_Mid-Senior level,required_experience_Not Applicable,required_education_-,required_education_Associate Degree,required_education_Bachelor's Degree,required_education_Certification,required_education_Doctorate,required_education_High School or equivalent,required_education_Master's Degree,required_education_Professional,required_education_Some College Coursework Completed,required_education_Some High School Coursework,required_education_Unspecified,required_education_Vocational,required_education_Vocational - Degree,required_education_Vocational - HS Diploma,title_vector,location_vector,department_vector,company_profile_vector,description_vector,requirements_vector,benefits_vector,industry_vector,function_vector,predicao
80,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.15363047,0.07525593787431717,0.0,-0.08038926124572754,0.04299287497997284,-0.01412875670939684,0.005807572975754738,-0.023350419476628304,0.0,0.0
83,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.042961985,0.061075106263160706,0.0,-0.09097718447446823,-0.010381001979112625,-0.0029322966001927853,0.0,-0.0451783761382103,-0.10149919241666794,0.0
85,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.040948316,0.14902539551258087,0.0,0.023004891350865364,0.02358226291835308,0.013282692059874535,0.041617728769779205,-0.08084625005722046,-0.08033592253923416,0.0
86,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.003961644,0.013081397861242294,0.0,-0.09097718447446823,0.018544288352131844,0.017329687252640724,0.0,-0.11565808206796646,0.13140377402305603,0.0
90,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.060941868,0.1152149960398674,0.24436213076114655,0.05665561184287071,0.04094074293971062,-0.015318311750888824,0.11988402158021927,0.11310556530952454,0.24436213076114655,0.0
92,1,0,0,0,16000,28000,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.049859773,-0.006946343928575516,0.09764895588159561,0.0,0.004298085812479258,0.0,0.0,-0.0451783761382103,0.09764895588159561,1.0
94,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.117045745,0.008633265271782875,0.0,-0.04506576061248779,0.009487452916800976,-0.12404965609312057,0.06504427641630173,0.0,0.13140377402305603,0.0
98,0,1,1,1,95000,115000,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.019835455,0.053020771592855453,-0.3004835844039917,0.010965157300233841,-0.0003457826387602836,-0.011183722876012325,0.054921120405197144,-0.3004835844039917,0.0,1.0
110,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.04775843,0.03482184559106827,0.0,-0.09097718447446823,-0.020753519609570503,0.009944591671228409,0.0,-0.11565808206796646,-0.10149919241666794,0.0
113,0,1,0,0,45000,60000,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.048096023,0.003217034274712205,0.026286277920007706,0.023493638262152672,-0.0011419159127399325,0.0463593527674675,0.00011609763168962672,0.04669785127043724,-0.022310519590973854,0.0
128,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.09836331,0.00406298553571105,0.0,-0.005759019870311022,0.02820942923426628,0.005170119926333427,0.05423811823129654,-0.004103701561689377,0.0,0.0
130,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.05873391,-0.053917475044727325,0.0,-0.09097718447446823,0.007264428306370974,0.008539460599422455,0.0,-0.08582908660173416,-0.10149919241666794,0.0
136,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.105330296,0.11934488266706467,0.0,-0.09097718447446823,0.002757936017587781,0.021258296445012093,0.0,-0.20944009721279144,-0.10149919241666794,0.0
137,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18109185,0.3389737606048584,0.0,0.05140066146850586,0.06860397011041641,0.0,0.0,0.0,0.0,0.0
138,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.10349491,0.1152149960398674,0.0,-0.09097718447446823,-0.007855413481593132,0.02003183402121067,0.0,-0.08084625005722046,-0.10149919241666794,0.0
140,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.15363047,0.04317250847816467,0.0,-0.08038926124572754,0.04299287497997284,-0.01412875670939684,0.005807572975754738,-0.023350419476628304,0.0,0.0
142,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061256666,0.09140617400407791,0.04955963045358658,0.012333926744759083,0.01665395312011242,0.002327162539586425,0.0,0.0,0.0,0.0
150,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00105196,-0.00040772557258605957,0.0,0.02697880193591118,0.028878843411803246,0.0376354455947876,0.18628248572349548,0.11310556530952454,-0.07160104811191559,0.0
152,0,1,0,0,50,110,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.0686309,0.1152149960398674,0.0,-0.021511629223823547,0.011606800369918346,-0.01689554937183857,0.058307427912950516,-0.08619615435600281,0.0924716666340828,0.0
153,0,1,1,0,28000,45000,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.025166105,0.11525097489356995,-0.05225321650505066,0.016291119158267975,-0.008597328327596188,0.010109926573932171,0.05859341472387314,-0.03708634898066521,-0.05225321650505066,0.0
160,0,0,0,0,44000,57000,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.07302186,-0.0023040466476231813,-0.0693010538816452,-0.01121240109205246,-0.052247341722249985,-0.0029542900156229734,0.05809184908866882,0.018176566809415817,-0.0494341142475605,1.0
161,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.05390681,0.009951918385922909,0.0,0.0,0.026933355256915092,-0.0017442917451262474,0.0,0.0,0.0,0.0
163,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.04775843,0.03482184559106827,0.0,-0.09097718447446823,-0.020753519609570503,0.00027927698101848364,0.0,-0.0451783761382103,-0.10149919241666794,0.0
164,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.03823164,0.09142089635133743,0.24436213076114655,0.0034210626035928726,0.017763735726475716,0.03000413253903389,-0.0015174943255260587,-0.20944009721279144,0.24436213076114655,0.0
170,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08687809,0.18005065619945526,0.02268296666443348,-0.13092714548110962,-0.05243200436234474,0.0059249186888337135,0.019629113376140594,0.0,0.0,0.0
171,0,1,0,0,30000,35000,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.16378899,0.08638965338468552,-0.02741849608719349,-0.007814476266503334,0.060048818588256836,0.03162924945354462,0.0,0.11310556530952454,-0.07160104811191559,0.0
172,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.016667647,0.06085628643631935,0.0,-0.04221516475081444,0.06887124478816986,-0.004073014482855797,0.1350419968366623,-0.2830130457878113,0.0,0.0
175,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.087464035,0.1152149960398674,0.0,-0.09097718447446823,0.016732923686504364,0.036827899515628815,0.0,-0.08084625005722046,0.13140377402305603,0.0
176,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.15363047,0.16852909326553345,0.0,-0.08038926124572754,0.04299287497997284,-0.01412875670939684,0.005807572975754738,-0.023350419476628304,0.0,0.0
180,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0377136,0.027210891246795654,0.0924716666340828,0.0,-0.03771359845995903,-0.03771359845995903,-0.03771359845995903,0.0,0.0924716666340828,0.0
184,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17608072,0.11064659804105759,0.2928345501422882,-0.03447936847805977,0.07792479544878006,0.04673260077834129,0.09497570991516113,0.0,0.0,0.0
189,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.15363047,-0.009519708342850208,0.0,-0.08038926124572754,0.04299287497997284,-0.01412875670939684,0.005807572975754738,-0.023350419476628304,0.0,0.0
191,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08752534,-0.08451381325721741,0.0,0.0,0.02350238710641861,0.04880629852414131,0.04677881672978401,0.0,0.0,0.0
196,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.15363047,0.04513421654701233,0.0,-0.08038926124572754,0.04299287497997284,-0.01412875670939684,0.005807572975754738,-0.023350419476628304,0.0,0.0
200,0,1,1,0,50000,80000,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.097366095,0.156906396150589,-0.1464112550020218,0.015439534559845924,0.008300784043967724,0.040654506534338,0.07217737287282944,0.11310556530952454,-0.018151022493839264,0.0
204,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012236771,0.0,-0.2534002363681793,0.12117230147123337,0.026296503841876984,-0.005741051863878965,0.0,0.0,0.0,0.0
207,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.002933252,0.061075106263160706,0.0,-0.09097718447446823,-0.025372592732310295,-0.005018553696572781,0.0,-0.0451783761382103,-0.10149919241666794,0.0
212,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.105330296,-0.021072575822472572,0.0,-0.09097718447446823,0.0022590302396565676,0.007683854084461927,0.0,-0.0451783761382103,-0.10149919241666794,0.0
214,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.063510895,0.054051660001277924,0.0,0.0,0.010796532966196537,0.0,0.0,0.0,0.0,0.0
219,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.003234942,0.047560617327690125,0.0924716666340828,-0.042094774544239044,0.029795484617352486,-0.04021287336945534,-0.009149120189249516,-0.20944009721279144,0.0924716666340828,0.0
221,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.064259976,0.010008725337684155,0.0,-0.04506576061248779,-0.00990893691778183,-0.03999607637524605,0.016520678997039795,0.0,0.13140377402305603,0.0
223,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.15363047,0.06422104686498642,0.0,-0.08038926124572754,0.04299287497997284,-0.01412875670939684,0.005807572975754738,-0.023350419476628304,0.0,0.0
226,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.15363047,0.053127970546483994,0.0,-0.08038926124572754,0.04299287497997284,-0.01412875670939684,0.005807572975754738,-0.023350419476628304,0.0,0.0
232,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.13977839,0.01668521575629711,0.0,-0.04506576061248779,-0.02438788115978241,-0.03999607637524605,0.016520678997039795,0.0,0.13140377402305603,0.0
233,0,1,0,0,30000,40000,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.04339811,0.11064659804105759,0.0,0.013414761051535606,0.02573472447693348,-0.006975041702389717,0.11153052002191544,-0.03708634898066521,-0.07160104811191559,0.0
234,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019866912,0.0,0.0,0.029356099665164948,0.002548500197008252,-0.01140772458165884,0.008151447400450706,0.0,0.0,0.0
235,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-0.09290232,0.0064837746322155,0.0,-0.04506576061248779,0.011168662458658218,-0.12404965609312057,0.06504427641630173,0.0,0.0924716666340828,0.0
236,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0027026588,0.061259590089321136,0.0,0.0,-0.013700141571462154,0.0010136294877156615,0.0,-0.08405696600675583,-0.07160104811191559,0.0
244,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.054925844,0.035993997007608414,0.0,0.0,-0.010486295446753502,0.0,0.0,0.0,0.0,0.0
249,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.04135137,0.006201688200235367,0.02268296666443348,0.023270258679986,0.023867633193731308,0.008973576128482819,0.0,0.0,0.0,0.0
253,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.12056011,-0.04242731258273125,0.0,-0.08038926124572754,0.034745365381240845,-0.021894413977861404,0.005807572975754738,-0.023350419476628304,0.0,0.0
259,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.011363788,0.06428540498018265,0.0,0.0,0.02871730364859104,0.015833154320716858,0.0,-0.08405696600675583,0.017827996984124184,0.0
275,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.064882845,0.024781499058008194,0.0,0.029691852629184723,0.043607842177152634,0.02587621845304966,0.06849639862775803,-0.07217704504728317,0.0,0.0
280,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.15363047,0.06882836669683456,0.0,-0.08038926124572754,0.04299287497997284,-0.01412875670939684,0.005807572975754738,-0.023350419476628304,0.0,0.0
288,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0058834483,0.00912715494632721,0.0,-0.003572591580450535,0.006139491684734821,-0.009668806567788124,0.04532553255558014,0.09558368474245071,0.0924716666340828,0.0
289,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.16364613,0.061259590089321136,0.0,0.057530101388692856,0.0600753016769886,0.03092959150671959,0.09552022814750671,-0.07217704504728317,0.11565286666154861,0.0
290,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08846428,-0.08451381325721741,0.19488908350467682,0.04923246428370476,0.032744020223617554,0.03235989063978195,0.007810045499354601,0.0,0.19488908350467682,0.0
292,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.15363047,0.007105197291821241,0.0,-0.08038926124572754,0.04299287497997284,-0.01412875670939684,0.005807572975754738,-0.023350419476628304,0.0,0.0
295,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0012233066,0.08044423907995224,-0.0350961796939373,-0.019121360033750534,-0.007002081722021103,0.02124987170100212,0.019487297162413597,-0.13812656700611115,-0.02971949614584446,0.0
296,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.057502393,0.18005065619945526,0.02268296666443348,-0.13092714548110962,-0.05547952651977539,-0.032032471150159836,0.019629113376140594,0.0,0.0,0.0
308,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010847318,0.03492848947644234,0.0,-0.08132649213075638,0.002598375082015991,0.0,0.0,-0.07157982885837555,-0.07160104811191559,0.0
309,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.15363047,0.0827341377735138,0.0,-0.08038926124572754,0.04299287497997284,-0.01412875670939684,0.005807572975754738,-0.023350419476628304,0.0,0.0
312,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03179061,0.03492848947644234,0.0,-0.08132649213075638,0.0011338925687596202,0.0,0.0,-0.08405696600675583,0.0924716666340828,0.0
314,0,1,0,0,180000,216000,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.22341846,0.10804381966590881,0.09764895588159561,-0.042094774544239044,-0.016686640679836273,-0.030370287597179413,0.034268271178007126,-0.20944009721279144,0.09764895588159561,0.0
317,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.015123818,0.08247296512126923,-0.11800777167081833,0.05701860040426254,0.005510374438017607,0.01330482866615057,0.12101511657238007,-0.03708634898066521,-0.10915237665176392,0.0
327,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0022997088,0.08472206443548203,0.02268296666443348,0.018466200679540634,0.01757567934691906,0.034533631056547165,0.05810584872961044,-0.03708634898066521,0.11565286666154861,0.0
330,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.12056011,0.004122003447264433,0.0,-0.08038926124572754,0.034745365381240845,-0.016303282231092453,0.005807572975754738,-0.023350419476628304,0.0,0.0
